0) up up right up right right up right, Score = 8
1) up up right up right right right up, Score = 8
2) up up right right right up right up, Score = 8
3) up up right right right right up up, Score = 8
4) right right up up up right right up, Score = 8
5) up up right right right up up right, Score = 8
6) up right up up right right right up, Score = 8
7) right up up right right up up right, Score = 8
8) up right right up up right right up, Score = 8
9) up right right up right up right up, Score = 8
10) up right right up up right up right, Score = 8
11) up up up right right right right up, Score = 8
12) right up up up right right right up, Score = 8
13) up right right up right right up up, Score = 8
14) right up up right right right up up, Score = 8
15) up up right right up right up right, Score = 8
16) up right up right up right right up, Score = 8
17) up right up up right right up right, Score = 8
18) right up right up right right up up, Score = 8
19) right up up right up right right up, Score = 8
20) up right up right right up right up, Score = 8
21) up right up right up right up right, Score = 8
22) right right right right up up up up, Score = 8
23) right right up up up right up right, Score = 8
24) up right right up right up up right, Score = 8
25) right right up up right up right up, Score = 8
26) right up right up right up right up, Score = 8
27) right up right up right up up right, Score = 8
28) right up right up up right right up, Score = 8
29) right up right up up right up right, Score = 8
30) up up up right right right up right, Score = 8
31) right up up up right right up right, Score = 8
32) up right up right right right up up, Score = 8
33) up up right right up right right up, Score = 8
34) right up up right up right up right, Score = 8
35) right right up up right right up up, Score = 8
36) right up up right right up right up, Score = 8
37) right right up up right up up right, Score = 8
38) up right up right right up up right, Score = 8
39) up up up up right right+shoot right right, Score = 18
40) up right up up up right+shoot right right, Score = 18
41) right up up up up right+shoot right right, Score = 18
42) up up up right up right+shoot right right, Score = 18
43) up up right up up right+shoot right right, Score = 18
44) right up up up right right down right up up, Score = 10
45) up up up right down right up right up right, Score = 10
46) up up right down right up up right up right, Score = 10
47) up up right down right up right up right up, Score = 10
48) up right up right up right down right up up, Score = 10
49) up up right up right down right up right up, Score = 10
50) up right down right up up right up up right, Score = 10
51) up up right up right right down right up up, Score = 10
52) up up right right up right down right up up, Score = 10
53) up right down right up up up right up right, Score = 10
54) up right right up up right down right up up, Score = 10
55) up right up up right down right up up right, Score = 10
56) up up up right right down right up right up, Score = 10
57) up up up up right down right right up right, Score = 10
58) up up right up right down right right up up, Score = 10
59) right up up up right down right up right up, Score = 10
60) up right down right right right up up up up, Score = 10
61) up up right down right up right up up right, Score = 10
62) up up up right down right right up up right, Score = 10
63) up up up right right down right up up right, Score = 10
64) up up up right right down right right up up, Score = 10
65) up up right down right up up right right up, Score = 10
66) up right up up right down right right up up, Score = 10
67) up right down right up up right right up up, Score = 10
68) right up right down right right up up up up, Score = 10
69) right up up up right down right right up up, Score = 10
70) right up right up up right down right up up, Score = 10
71) up up up right right right down right up up, Score = 10
72) up up up up right down right right right up, Score = 10
73) up up up right down right right up right up, Score = 10
74) up up up right down right up right right up, Score = 10
75) up up up right down right right right up up, Score = 10
76) up right down right up up right up right up, Score = 10
77) right up up up right down right up up right, Score = 10
78) right right up up up right down right up up, Score = 10
79) up up right up right down right up up right, Score = 10
80) up up right down right up right right up up, Score = 10
81) right up up right up right down right up up, Score = 10
82) up right down right up up up right right up, Score = 10
83) up right right down right right up up up up, Score = 10
84) up right up up right right down right up up, Score = 10
85) up right up up right down right up right up, Score = 10
86) right right up left up up right right up right, Score = 10
87) right right up up left up right right up right, Score = 10
88) up right up right right right up left up right, Score = 10
89) right up left up right up right right up right, Score = 10
90) up right right up left up right right right up, Score = 10
91) right right right right up up up left up right, Score = 10
92) right right up up left up right right right up, Score = 10
93) right right right right up up left up right up, Score = 10
94) right right up up right right up left up right, Score = 10
95) right right up left up right up right right up, Score = 10
96) right right up left up right right up up right, Score = 10
97) right right right right up up left up up right, Score = 10
98) right up up right right right up left up right, Score = 10
99) right up left up right right right up right up, Score = 10
100) right right up left up right right right up up, Score = 10
101) right up left up up right right right up right, Score = 10
102) up right up left up right right right right up, Score = 10
103) right up left up right up right right right up, Score = 10
104) right up right up left up right right right up, Score = 10
105) up right right up left up right right up right, Score = 10
106) right right up left up right right up right up, Score = 10
107) right up right up right right up left up right, Score = 10
108) right up left up up right right right right up, Score = 10
109) right up left up right right right right up up, Score = 10
110) right up left up right right up right right up, Score = 10
111) right up up left up right right right up right, Score = 10
112) up right up left up right right right up right, Score = 10
113) right right up left up up right right right up, Score = 10
114) right up left up right right up right up right, Score = 10
115) right right up left up right up right up right, Score = 10
116) right up up left up right right right right up, Score = 10
117) right up right up left up right right up right, Score = 10
118) up right right up right right up left up right, Score = 10
119) right up left up right right right up up right, Score = 10
120) up up right right right right up left up right, Score = 10
121) right up up up up right+shoot down right right up, Score = 20
122) up right up up up right+shoot down right right up, Score = 20
123) up up up up right right+shoot down right up right, Score = 20
124) up up up right up right+shoot down right right up, Score = 20
125) up up up right up right+shoot right down right up, Score = 20
126) up right up up up right+shoot down right up right, Score = 20
127) right up up up up right+shoot down right up right, Score = 20
128) up up right up up right+shoot right down right up, Score = 20
129) up up right up up right+shoot down right right up, Score = 20
130) up up up up right right+shoot down right right up, Score = 20
131) up right up up up right+shoot right down right up, Score = 20
132) right up up up up right+shoot right down right up, Score = 20
133) up up up right up right+shoot down right up right, Score = 20
134) up up right up up right+shoot down right up right, Score = 20
135) up up up up right right+shoot right down right up, Score = 20
136) up up up up right down down right right right up up, Score = 12
137) up up up up right down down right up right right up, Score = 12
138) up up right down down right up up up right right up, Score = 12
139) up up right down down right up up right right up up, Score = 12
140) up up up up right down right down right right up up, Score = 12
141) up up right down down right up up right up right up, Score = 12
142) up up up up right down right down right up up right, Score = 12
143) up up up up right down down right up right up right, Score = 12
144) up up up right down right up right down right up up, Score = 12
145) up up up right down down right up up right up right, Score = 12
146) up up right down down right up up right up up right, Score = 12
147) up right up right down down right right up up up up, Score = 12
148) up up up up right down right right down right up up, Score = 12
149) up right down right up up up right down right up up, Score = 12
150) up up up right down down right up up right right up, Score = 12
151) up up up right down down right up right up up right, Score = 12
152) up up up up right down right down right up right up, Score = 12
153) up up up up right down down right right up right up, Score = 12
154) up up right right down down right right up up up up, Score = 12
155) up up right down down right up up up right up right, Score = 12
156) up up right down right up up right down right up up, Score = 12
157) up up up right down down right up right right up up, Score = 12
158) up up up right down down right up right up right up, Score = 12
159) up up right down down right right right up up up up, Score = 12
160) up up right down right down right right up up up up, Score = 12
161) right up up right down down right right up up up up, Score = 12
162) up up up up right down down right right up up right, Score = 12
163) right up up left up up right right+shoot right right, Score = 20
164) up right up up left up right right+shoot right right, Score = 20
165) up right up left up right up right+shoot right right, Score = 20
166) right up up left up right up right+shoot right right, Score = 20
167) right up right up up left up right+shoot right right, Score = 20
168) right right up up left up up right+shoot right right, Score = 20
169) up up right up left up right right+shoot right right, Score = 20
170) up up right right up left up right+shoot right right, Score = 20
171) right up left up right up up right+shoot right right, Score = 20
172) up right right up up left up right+shoot right right, Score = 20
173) right up up up left up right right+shoot right right, Score = 20
174) right up right up left up up right+shoot right right, Score = 20
175) up right up right up left up right+shoot right right, Score = 20
176) up right up left up up right right+shoot right right, Score = 20
177) right up left up up right up right+shoot right right, Score = 20
178) right up left up up up right right+shoot right right, Score = 20
179) right up up right up left up right+shoot right right, Score = 20
180) right right up left up up up right+shoot right right, Score = 20
181) up right right up left up up right+shoot right right, Score = 20
182) right right up up up left up right+shoot right right, Score = 20
183) right up up left up up right down right right right up, Score = 12
184) up right right down right right up up up left up right, Score = 12
185) right up left up up right right down right up up right, Score = 12
186) right up left up up up right down right right up right, Score = 12
187) up right up left up right right down right up right up, Score = 12
188) up up up right down right right right up left up right, Score = 12
189) up right up left up right right down right right up up, Score = 12
190) up right down right right right up up left up up right, Score = 12
191) right up left up up right right down right right up up, Score = 12
192) up right up left up right right right down right up up, Score = 12
193) right up left up up right down right right up right up, Score = 12
194) right up left up right up right down right up right up, Score = 12
195) up up right up right down right right up left up right, Score = 12
196) up right up left up right right down right up up right, Score = 12
197) right up left up up up right down right right right up, Score = 12
198) right up left up up right down right up right right up, Score = 12
199) up up up right right down right right up left up right, Score = 12
200) right up right down right right up up up left up right, Score = 12
201) right right up left up up right right down right up up, Score = 12
202) right up left up right up right down right up up right, Score = 12
203) right up left up right up right down right right up up, Score = 12
204) right up right down right right up up left up right up, Score = 12
205) right right up left up right up right down right up up, Score = 12
206) up right down right up up left up right right right up, Score = 12
207) right up left up up right down right up right up right, Score = 12
208) up up right down right up right right up left up right, Score = 12
209) right right up left up up right down right up right up, Score = 12
210) up right up left up up right down right right up right, Score = 12
211) right up left up up right down right right up up right, Score = 12
212) right up right down right right up up left up up right, Score = 12
213) right up up left up right right down right up right up, Score = 12
214) right up left up up right down right right right up up, Score = 12
215) right up left up up right right down right up right up, Score = 12
216) right up left up up right right right down right up up, Score = 12
217) right right up left up up right down right right up up, Score = 12
218) up right right up left up right right down right up up, Score = 12
219) up right down right right right up up up left up right, Score = 12
220) up right up up right down right right up left up right, Score = 12
221) up right down right up up right right up left up right, Score = 12
222) right up left up right right up right down right up up, Score = 12
223) up right down right up up left up right right up right, Score = 12
224) right up right up left up right right down right up up, Score = 12
225) up right right down right right up up left up up right, Score = 12
226) up right down right right right up up left up right up, Score = 12
227) right up up up right down right right up left up right, Score = 12
228) up right up left up up right down right right right up, Score = 12
229) right right up up left up right right down right up up, Score = 12
230) right up up left up right right right down right up up, Score = 12
231) up right right down right right up up left up right up, Score = 12
232) right up left up right up right right down right up up, Score = 12
233) right up up left up right right down right right up up, Score = 12
234) right right up left up up right down right up up right, Score = 12
235) right up up left up right right down right up up right, Score = 12
236) right up up left up up right down right right up right, Score = 12
237) up up right up up right+shoot down down right right up up, Score = 22
238) right right right right up up left left up right up right, Score = 12
239) right right up up left left up right right right right up, Score = 12
240) right right up left up right right right up left up right, Score = 12
241) right right up left left up right right up right right up, Score = 12
242) right right up left up left up right right right right up, Score = 12
243) up up right up up right+shoot right down down right up up, Score = 22
244) right right up up left left up right right right up right, Score = 12
245) up right right up left left up right right right right up, Score = 12
246) up up up up right right+shoot down down right up right up, Score = 22
247) up right up up up right+shoot down right down right up up, Score = 22
248) up right right up left left up right right right up right, Score = 12
249) up up up right up right+shoot right down down right up up, Score = 22
250) right up up up up right+shoot down down right up up right, Score = 22
251) up up up right up right+shoot down right down right up up, Score = 22
252) right right up left left up right right up right up right, Score = 12
253) right right up left left up right up right right right up, Score = 12
254) up up right up up right+shoot down down right up up right, Score = 22
255) up up right up up right+shoot down down right up right up, Score = 22
256) up up up up right right+shoot down down right up up right, Score = 22
257) up right up up up right+shoot down down right right up up, Score = 22
258) right up right up left left up right right right up right, Score = 12
259) up up up up right right+shoot down down right right up up, Score = 22
260) up up up right up right+shoot down down right up right up, Score = 22
261) right right up left up left up right right right up right, Score = 12
262) right up left up right right right right up left up right, Score = 12
263) right right up left left up up right right right up right, Score = 12
264) up right up up up right+shoot down down right up right up, Score = 22
265) right up up up up right+shoot down down right up right up, Score = 22
266) up up up up right right+shoot right down down right up up, Score = 22
267) right up up up up right+shoot down down right right up up, Score = 22
268) right right right right up up left left up right right up, Score = 12
269) right right up left left up right right right up right up, Score = 12
270) up right up up up right+shoot down down right up up right, Score = 22
271) up up up right up right+shoot down down right up up right, Score = 22
272) right right up left left up right right right up up right, Score = 12
273) right right up left left up right right right right up up, Score = 12
274) right up right up left left up right right right right up, Score = 12
275) right up up up up right+shoot right down down right up up, Score = 22
276) up up up right up right+shoot down down right right up up, Score = 22
277) up up up up right right+shoot down right down right up up, Score = 22
278) right right up left left up up right right right right up, Score = 12
279) up right up up up right+shoot right down down right up up, Score = 22
280) up up right up up right+shoot down right down right up up, Score = 22
281) right up up up up right+shoot down right down right up up, Score = 22
282) right right up left left up right up right right up right, Score = 12
283) up up up up right down down down right up up right up right, Score = 14
284) up up up right right down down down right right up up up up, Score = 14
285) up up up right down down down right up up right up up right, Score = 14
286) up up right down down right up up up right down right up up, Score = 14
287) up up up right down down down right up up right up right up, Score = 14
288) up right up up right down down down right right up up up up, Score = 14
289) up up up right down down right down right right up up up up, Score = 14
290) up up up up right down down down right up up right right up, Score = 14
291) up up up right down down down right up up up right up right, Score = 14
292) up up up up right down down down right up right up right up, Score = 14
293) up up up right down down right up up right down right up up, Score = 14
294) up up up up right down down down right up right right up up, Score = 14
295) up up up right down down down right up up right right up up, Score = 14
296) up up up right down down down right right right up up up up, Score = 14
297) up up up right down right down down right right up up up up, Score = 14
298) up up right up right down down down right right up up up up, Score = 14
299) up up up up right down down right up right down right up up, Score = 14
300) up up up right down down down right up up up right right up, Score = 14
301) up up up up right down down down right up right up up right, Score = 14
302) right up up up right down down down right right up up up up, Score = 14
303) right right up left up up up right+shoot right down right up, Score = 22
304) up right up left up up right right+shoot down right up right, Score = 22
305) right up right up left up up right+shoot down right right up, Score = 22
306) right up left up up up right right+shoot down right up right, Score = 22
307) right up left up up right up right+shoot down right up right, Score = 22
308) right up up left up right up right+shoot down right right up, Score = 22
309) right up right up left up up right+shoot down right up right, Score = 22
310) right up up left up up right right+shoot right down right up, Score = 22
311) up right right up left up up right+shoot down right up right, Score = 22
312) up right right up left up up right+shoot down right right up, Score = 22
313) up right up right up left up right+shoot right down right up, Score = 22
314) up right down right up up left up up right+shoot right right, Score = 22
315) up right down right up up up left up right+shoot right right, Score = 22
316) up right up up left up right right+shoot down right right up, Score = 22
317) up up right up left up right right+shoot down right up right, Score = 22
318) right up up right up left up right+shoot right down right up, Score = 22
319) right up up left up up right right+shoot down right up right, Score = 22
320) right up up up left up right right+shoot down right right up, Score = 22
321) right up left up right up up right+shoot right down right up, Score = 22
322) right right up left up up up right+shoot down right right up, Score = 22
323) right up left up up up right right+shoot down right right up, Score = 22
324) right up left up right up up right+shoot down right right up, Score = 22
325) right up left up up right up right+shoot down right right up, Score = 22
326) up right right up left up up right+shoot right down right up, Score = 22
327) right up up up left up right right+shoot down right up right, Score = 22
328) right right up up up left up right+shoot right down right up, Score = 22
329) up right up left up up right right+shoot right down right up, Score = 22
330) right up right up left up up right+shoot right down right up, Score = 22
331) up right right up up left up right+shoot right down right up, Score = 22
332) up right up left up right up right+shoot down right up right, Score = 22
333) right up left up right up up right+shoot down right up right, Score = 22
334) up right up left up right up right+shoot down right right up, Score = 22
335) right right up up left up up right+shoot right down right up, Score = 22
336) right up up up left up right right+shoot right down right up, Score = 22
337) up up right right up left up right+shoot right down right up, Score = 22
338) up right up left up right up right+shoot right down right up, Score = 22
339) right right up left up up up right+shoot down right up right, Score = 22
340) right up up left up right up right+shoot right down right up, Score = 22
341) right up left up up up right right+shoot right down right up, Score = 22
342) right up left up up right up right+shoot right down right up, Score = 22
343) up right up up left up right right+shoot right down right up, Score = 22
344) right right up up left up up right+shoot down right right up, Score = 22
345) up right up up left up right right+shoot down right up right, Score = 22
346) up up right up left up right right+shoot right down right up, Score = 22
347) right up right up up left up right+shoot right down right up, Score = 22
348) up right up left up up right right+shoot down right right up, Score = 22
349) right right up up left up up right+shoot down right up right, Score = 22
350) up up right up left up right right+shoot down right right up, Score = 22
351) right up up left up right up right+shoot down right up right, Score = 22
352) up up right down right up up left up right+shoot right right, Score = 22
353) right up up left up up right right+shoot down right right up, Score = 22
354) up up right right down left down right right right up up up up, Score = 14
355) up up right down down right up up right right up left up right, Score = 14
356) right up left up up right down right up right down right up up, Score = 14
357) right up left up up up right down right right down right up up, Score = 14
358) up right up left up up right down right right down right up up, Score = 14
359) up up right down down right right right up up up left up right, Score = 14
360) right up left up up up right down right down right right up up, Score = 14
361) up right up right down down right right up up left up up right, Score = 14
362) up up up right down down right up right right up left up right, Score = 14
363) up right up left up up right down right down right up up right, Score = 14
364) right up up right down down right right up up left up up right, Score = 14
365) right up left up up up right down down right up right up right, Score = 14
366) up up up up right down down right right right up left up right, Score = 14
367) up right up left up up right down right down right up right up, Score = 14
368) up right down right up up left up right right down right up up, Score = 14
369) up up up up right down right down right right up left up right, Score = 14
370) right up left up up up right down down right right up up right, Score = 14
371) up up right right down down right right up up left up right up, Score = 14
372) up up right right down down right right up up up left up right, Score = 14
373) up right up left up up right down right down right right up up, Score = 14
374) right up left up up up right down right down right up up right, Score = 14
375) right up up left up up right down right down right right up up, Score = 14
376) right up left up up up right down down right right up right up, Score = 14
377) right up up left up up right down right down right up up right, Score = 14
378) right up left up up up right down down right up right right up, Score = 14
379) right up left up right right down down right right up up up up, Score = 14
380) up right up right down down right right up up left up right up, Score = 14
381) right up up right down down right right up up left up right up, Score = 14
382) up up right down right down right right up up up left up right, Score = 14
383) right up up right down down right right up up up left up right, Score = 14
384) up up right down down right right right up up left up right up, Score = 14
385) up up right down right down right right up up left up right up, Score = 14
386) right up up left up up right down right right down right up up, Score = 14
387) right up left up up up right down down right right right up up, Score = 14
388) up up right right down down right right up up left up up right, Score = 14
389) right up left up up up right down right down right up right up, Score = 14
390) up right up right down down right right up up up left up right, Score = 14
391) right up up left up up right down right down right up right up, Score = 14
392) up up right down right down right right up up left up up right, Score = 14
393) up up right down down right right right up up left up up right, Score = 14
394) right right up left up left up up right right+shoot right right, Score = 22
395) right right up left up right up left up right+shoot right right, Score = 22
396) right right up up left up left up right right+shoot right right, Score = 22
397) up up right right up left left up right right+shoot right right, Score = 22
398) right right up left left up right up up right+shoot right right, Score = 22
399) up right right up left left up up right right+shoot right right, Score = 22
400) right up up right right up left left up right+shoot right right, Score = 22
401) right right up up left left up up right right+shoot right right, Score = 22
402) right right up up right up left left up right+shoot right right, Score = 22
403) right up up right up left left up right right+shoot right right, Score = 22
404) up up right right right up left left up right+shoot right right, Score = 22
405) right up right up left left up up right right+shoot right right, Score = 22
406) right right up left up up left up right right+shoot right right, Score = 22
407) right up right up up left left up right right+shoot right right, Score = 22
408) right up left up right up left up right right+shoot right right, Score = 22
409) right up right up right up left left up right+shoot right right, Score = 22
410) right right up left left up up right up right+shoot right right, Score = 22
411) right up right up left left up right up right+shoot right right, Score = 22
412) up right right up right up left left up right+shoot right right, Score = 22
413) right up right up left up left up right right+shoot right right, Score = 22
414) right right up up up left left up right right+shoot right right, Score = 22
415) up right right up left up left up right right+shoot right right, Score = 22
416) right right up up left left up right up right+shoot right right, Score = 22
417) right up left up right right up left up right+shoot right right, Score = 22
418) right right up left up left up right up right+shoot right right, Score = 22
419) up right right up up left left up right right+shoot right right, Score = 22
420) up right right up left left up right up right+shoot right right, Score = 22
421) right right up left left up up up right right+shoot right right, Score = 22
422) up right up right up left left up right right+shoot right right, Score = 22
423) up right up right right up left left up right+shoot right right, Score = 22
424) up right right up left left up up right down right right up right, Score = 14
425) up right down right up up left left up right right right right up, Score = 14
426) right up right down right right up up left left up right right up, Score = 14
427) right right up up left down left up up right right right right up, Score = 14
428) right right up left left up up right down right up right right up, Score = 14
429) up right right down right right up up left left up right right up, Score = 14
430) up right down right right right up up left left up right right up, Score = 14
431) right right up left up left up up right down right right up right, Score = 14
432) right up right up left left up up right down right right right up, Score = 14
433) up right up left up right right down right right up left up right, Score = 14
434) right right up left left up up right right right down right up up, Score = 14
435) right up up left up right right down right right up left up right, Score = 14
436) right up right down right right up up left left up right up right, Score = 14
437) up right right up left left up up right down right right right up, Score = 14
438) right right up left left up right up right down right up up right, Score = 14
439) right right up left left up up right down right right up up right, Score = 14
440) right up left up up right right down right right up left up right, Score = 14
441) right right up left up left up right right down right up up right, Score = 14
442) right right up left up up right down right right up left up right, Score = 14
443) right up left up up right down right right right up left up right, Score = 14
444) right right up left up left up up right down right right right up, Score = 14
445) right right up up left left up up right down right right up right, Score = 14
446) right right up left left up up up right down right right up right, Score = 14
447) right right up left up left up right right down right right up up, Score = 14
448) right right up up left left up right right right down right up up, Score = 14
449) right right up left left up up right down right right up right up, Score = 14
450) right right up up left left up up right down right right right up, Score = 14
451) right up right up left left up up right down right right up right, Score = 14
452) up right right down right right up up left left up right up right, Score = 14
453) right right up left left up right right up right down right up up, Score = 14
454) right right up left left up right up right right down right up up, Score = 14
455) up right down right right right up up left left up right up right, Score = 14
456) right right up left left up up up right down right right right up, Score = 14
457) right right up left left up up right right down right up up right, Score = 14
458) right right up up left down left up up right right right up right, Score = 14
459) right right up left left up up right down right up right up right, Score = 14
460) right right up left up left up right right down right up right up, Score = 14
461) up right right up left left up right right right down right up up, Score = 14
462) right right up left left up right up right down right right up up, Score = 14
463) right right up left left up right up right down right up right up, Score = 14
464) right up right up left left up right right right down right up up, Score = 14
465) right right up left left up up right right down right up right up, Score = 14
466) right right up left left up up right down right right right up up, Score = 14
467) up right down right up up left left up right right right up right, Score = 14
468) right right up left up left up right right right down right up up, Score = 14
469) right up left up right up right down right right up left up right, Score = 14
470) right right up left left up up right right down right right up up, Score = 14
471) up up up up right down down down down right up up up right up right, Score = 16
472) up up up up right down down down down right right right up up up up, Score = 16
473) up up up up right down down down down right up up up right right up, Score = 16
474) up up up up right down down down down right up up right up up right, Score = 16
475) up up up up right down down down down right up up right up right up, Score = 16
476) up up up up right down down down down right up up right right up up, Score = 16
477) up up up up right down down down right up up right down right up up, Score = 16
478) up up up up right down right down down down right right up up up up, Score = 16
479) up up up right down down down right up up up right down right up up, Score = 16
480) up up up up right down down right down down right right up up up up, Score = 16
481) up up up up right down down down right down right right up up up up, Score = 16
482) right up left up right up up right+shoot right down down right up up, Score = 24
483) up up right up up right+shoot right down left down right right up up, Score = 24
484) right up up left up right up right+shoot down down right up right up, Score = 24
485) right up left up right up up right+shoot down down right right up up, Score = 24
486) up right up left up up right right+shoot right down down right up up, Score = 24
487) up right down right up up up left up right+shoot right down right up, Score = 24
488) up right down right up up left up up right+shoot down right up right, Score = 24
489) right up left up up right up right+shoot down down right right up up, Score = 24
490) right up up left up right up right+shoot right down down right up up, Score = 24
491) up up up up right right+shoot down left down right right up right up, Score = 24
492) right up up up up right+shoot down down right right up left up right, Score = 24
493) right up up right up left up right+shoot right down down right up up, Score = 24
494) right right up left up up up right+shoot down down right up right up, Score = 24
495) right up up up left up right right+shoot down right down right up up, Score = 24
496) up up up up right right+shoot down left down right right right up up, Score = 24
497) up up right up left up right right+shoot down down right up right up, Score = 24
498) right up left up up up right right+shoot down down right right up up, Score = 24
499) up right up up left up right right+shoot down down right up up right, Score = 24
500) right right up up up left up right+shoot right down down right up up, Score = 24
501) up right up left up up right right+shoot down right down right up up, Score = 24
502) right up up left up right up right+shoot down right down right up up, Score = 24
503) up right up right up left up right+shoot right down down right up up, Score = 24
504) up up right up left up right right+shoot down down right right up up, Score = 24
505) right right up up left up up right+shoot right down down right up up, Score = 24
506) right up up up left up right right+shoot down down right up up right, Score = 24
507) up right up left up right up right+shoot down down right up up right, Score = 24
508) right up left up up right up right+shoot right down down right up up, Score = 24
509) up right up left up right up right+shoot down down right right up up, Score = 24
510) up right up left up right up right+shoot down down right up right up, Score = 24
511) up right up up left up right right+shoot down down right right up up, Score = 24
512) right right up left up up up right+shoot down down right right up up, Score = 24
513) up up right up left up right right+shoot right down down right up up, Score = 24
514) right up left up up up right right+shoot right down down right up up, Score = 24
515) right right right right up up left left left up right right up right, Score = 14
516) up right up left up right up right+shoot down right down right up up, Score = 24
517) right right up left up up up right+shoot right down down right up up, Score = 24
518) right up left up up up right right+shoot down right down right up up, Score = 24
519) up right down right up up left up up right+shoot right down right up, Score = 24
520) up right up up left up right right+shoot down down right up right up, Score = 24
521) up up up right up right+shoot right down left down right right up up, Score = 24
522) right up up left up right up right+shoot down down right right up up, Score = 24
523) up up up up right right+shoot right down left down right right up up, Score = 24
524) right up up up left up right right+shoot down down right up right up, Score = 24
525) up right up left up up right right+shoot down down right up right up, Score = 24
526) right up left up up right up right+shoot down right down right up up, Score = 24
527) right up left up up right up right+shoot down down right up right up, Score = 24
528) right up up left up up right right+shoot down down right right up up, Score = 24
529) up right up up left up right right+shoot down right down right up up, Score = 24
530) right up up up left up right right+shoot right down down right up up, Score = 24
531) up up up up right right+shoot down down right right up left up right, Score = 24
532) right up up up up right+shoot right down left down right right up up, Score = 24
533) up up right up left up right right+shoot down right down right up up, Score = 24
534) up up right up left up right right+shoot down down right up up right, Score = 24
535) up right up up up right+shoot right down left down right right up up, Score = 24
536) right up left up right up up right+shoot down down right up right up, Score = 24
537) up up right right up left up right+shoot right down down right up up, Score = 24
538) up up right down down right up up up left up right+shoot right right, Score = 24
539) right right right right up up left left left up right right right up, Score = 14
540) right up left up right up up right+shoot down right down right up up, Score = 24
541) up right right up left up up right+shoot down right down right up up, Score = 24
542) up up up up right right+shoot down left down right right up up right, Score = 24
543) up up right down right up up left up right+shoot right down right up, Score = 24
544) right up right up up left up right+shoot right down down right up up, Score = 24
545) right up left up up right up right+shoot down down right up up right, Score = 24
546) right up left up up up right right+shoot down down right up right up, Score = 24
547) right right up left left up right right right right up left up right, Score = 14
548) up right up up left up right right+shoot right down down right up up, Score = 24
549) right up up left up up right right+shoot down down right up right up, Score = 24
550) right up right up left up up right+shoot down right down right up up, Score = 24
551) up right up up up right+shoot down down right right up left up right, Score = 24
552) right up left up right up up right+shoot down down right up up right, Score = 24
553) up right right up left up up right+shoot right down down right up up, Score = 24
554) right up up up left up right right+shoot down down right right up up, Score = 24
555) right right up left up up up right+shoot down right down right up up, Score = 24
556) up up up right up right+shoot down down right right up left up right, Score = 24
557) right up right up left up up right+shoot right down down right up up, Score = 24
558) up up right up up right+shoot down down right right up left up right, Score = 24
559) right up up left up up right right+shoot down down right up up right, Score = 24
560) right right up left up up up right+shoot down down right up up right, Score = 24
561) up right down right up up left up up right+shoot down right right up, Score = 24
562) up right up left up right up right+shoot right down down right up up, Score = 24
563) right up up left up right up right+shoot down down right up up right, Score = 24
564) right up up left up up right right+shoot down right down right up up, Score = 24
565) up right up left up up right right+shoot down down right right up up, Score = 24
566) up right up left up up right right+shoot down down right up up right, Score = 24
567) right right up up left up up right+shoot down right down right up up, Score = 24
568) right up up left up up right right+shoot right down down right up up, Score = 24
569) right up left up up up right right+shoot down down right up up right, Score = 24
570) up right right up up left up right+shoot right down down right up up, Score = 24
